template,setup,algorithm,n_edges_target,mean_pairwise_jaccard,std_pairwise_jaccard,n
plural_0,ceap_20,CEAP,10,1.0,0.0,6
plural_0,ceap_20,CEAP,507,0.8321294138621735,0.03644401328480187,6
plural_0,ceap_20,CEAP,1005,0.7635549888657777,0.03527967978598465,6
plural_0,ceap_20,CEAP,1502,0.7248496537081222,0.03273416891391872,6
plural_0,ceap_20,CEAP,2000,0.7318004253107454,0.03563807312444464,6
plural_1,ceap_20,CEAP,10,1.0,0.0,6
plural_1,ceap_20,CEAP,507,0.7737600513855348,0.028313983207589263,6
plural_1,ceap_20,CEAP,1005,0.701599371450259,0.026215477153479577,6
plural_1,ceap_20,CEAP,1502,0.6668940185218042,0.029431452533519687,6
plural_1,ceap_20,CEAP,2000,0.6511167954464503,0.02222934211785913,6
plural_2,ceap_20,CEAP,10,0.5,0.5,6
plural_2,ceap_20,CEAP,507,0.6698081352985757,0.02981678992448824,6
plural_2,ceap_20,CEAP,1005,0.613599687979386,0.01863483815930193,6
plural_2,ceap_20,CEAP,1502,0.6150361818259767,0.02253157283437521,6
plural_2,ceap_20,CEAP,2000,0.6341538922670237,0.011624552807710919,6
plural_3,ceap_20,CEAP,10,0.3333333333333333,0.4714045207910317,6
plural_3,ceap_20,CEAP,507,0.5342979183328442,0.031157673523994747,6
plural_3,ceap_20,CEAP,1005,0.5352882516810987,0.054801550194922215,6
plural_3,ceap_20,CEAP,1502,0.5296676697553601,0.049800456136075005,6
plural_3,ceap_20,CEAP,2000,0.5355933963112146,0.05153952886935414,6
plural_4,ceap_20,CEAP,10,0.3333333333333333,0.372677996249965,6
plural_4,ceap_20,CEAP,507,0.6437899383078772,0.048357864906982045,6
plural_4,ceap_20,CEAP,1005,0.5810762755227056,0.04517852156659402,6
plural_4,ceap_20,CEAP,1502,0.5766185408060831,0.04543860970382903,6
plural_4,ceap_20,CEAP,2000,0.5678190629830179,0.04624326119984938,6
plural_5,ceap_20,CEAP,10,1.0,0.0,6
plural_5,ceap_20,CEAP,507,0.8679784292047388,0.021583758896161865,6
plural_5,ceap_20,CEAP,1005,0.8137178666001451,0.020094662027386224,6
plural_5,ceap_20,CEAP,1502,0.799306906692836,0.025861799516782573,6
plural_5,ceap_20,CEAP,2000,0.7865866198412695,0.024501277752404668,6
plural_6,ceap_20,CEAP,10,1.0,0.0,6
plural_6,ceap_20,CEAP,507,0.6122640471397567,0.03136459380210424,6
plural_6,ceap_20,CEAP,1005,0.5927028813836523,0.040721875507793444,6
plural_6,ceap_20,CEAP,1502,0.5731838228027618,0.03330580452134273,6
plural_6,ceap_20,CEAP,2000,0.5915857822869772,0.030691940604495208,6
plural_7,ceap_20,CEAP,10,0.3333333333333333,0.372677996249965,6
plural_7,ceap_20,CEAP,507,0.4893713703686588,0.01668616936408445,6
plural_7,ceap_20,CEAP,1005,0.4692093203686713,0.02595224290812816,6
plural_7,ceap_20,CEAP,1502,0.4805864523946492,0.021271940946018888,6
plural_7,ceap_20,CEAP,2000,0.4908051175067973,0.021263410409385893,6
plural_8,ceap_20,CEAP,10,1.0,0.0,6
plural_8,ceap_20,CEAP,507,0.8903253707656046,0.01810725616186698,6
plural_8,ceap_20,CEAP,1005,0.8878679994662995,0.018452383809821324,6
plural_8,ceap_20,CEAP,1502,0.8560304865795173,0.01983049484314799,6
plural_8,ceap_20,CEAP,2000,0.8210879374554988,0.02170673111375023,6
plural_9,ceap_20,CEAP,10,1.0,0.0,6
plural_9,ceap_20,CEAP,507,0.9187554366411531,0.013981759584560141,6
plural_9,ceap_20,CEAP,1005,0.8485773394052165,0.009177420781118432,6
plural_9,ceap_20,CEAP,1502,0.8474048071190005,0.01334563967463188,6
plural_9,ceap_20,CEAP,2000,0.8415346603982643,0.010870766346327063,6
plural_11,ceap_20,CEAP,10,1.0,0.0,6
plural_11,ceap_20,CEAP,507,0.4788417156796148,0.08357449845309078,6
plural_11,ceap_20,CEAP,1005,0.4376662306902202,0.07539292269450538,6
plural_11,ceap_20,CEAP,1502,0.4264472353567464,0.06909144570112152,6
plural_11,ceap_20,CEAP,2000,0.4396002848160728,0.0726409046429632,6
plural_12,ceap_20,CEAP,10,1.0,0.0,6
plural_12,ceap_20,CEAP,507,0.8590438545304551,0.009961309028722685,6
plural_12,ceap_20,CEAP,1005,0.8057917456605935,0.02498376056272356,6
plural_12,ceap_20,CEAP,1502,0.7554103631798883,0.014699409905563988,6
plural_12,ceap_20,CEAP,2000,0.7616693668094633,0.011153223628650795,6
plural_13,ceap_20,CEAP,10,0.5,0.5,6
plural_13,ceap_20,CEAP,507,0.5013798346417863,0.0349220136566877,6
plural_13,ceap_20,CEAP,1005,0.46077846205178186,0.03012605151221736,6
plural_13,ceap_20,CEAP,1502,0.4664695587194095,0.029052767073291304,6
plural_13,ceap_20,CEAP,2000,0.46364795179937374,0.022833265570145374,6
plural_14,ceap_20,CEAP,10,1.0,0.0,6
plural_14,ceap_20,CEAP,507,0.8620366382056837,0.029657527402430616,6
plural_14,ceap_20,CEAP,1005,0.8440718502459837,0.022049968389272638,6
plural_14,ceap_20,CEAP,1502,0.8202274796702639,0.019303794784813783,6
plural_14,ceap_20,CEAP,2000,0.7777416815689966,0.020810084014736545,6
single_0,ceap_20,CEAP,10,1.0,0.0,6
single_0,ceap_20,CEAP,507,0.8429323112967907,0.018846213916482647,6
single_0,ceap_20,CEAP,1005,0.7605068718290364,0.018906879343452206,6
single_0,ceap_20,CEAP,1502,0.731139551863876,0.02371331155812218,6
single_0,ceap_20,CEAP,2000,0.7281598668754926,0.02229169868203805,6
single_1,ceap_20,CEAP,10,1.0,0.0,6
single_1,ceap_20,CEAP,507,0.7403929586705674,0.026166862004630764,6
single_1,ceap_20,CEAP,1005,0.6761276522004485,0.02324461456516885,6
single_1,ceap_20,CEAP,1502,0.6352010932215554,0.026923951725392806,6
single_1,ceap_20,CEAP,2000,0.6432304718321235,0.028384829186647302,6
single_2,ceap_20,CEAP,10,1.0,0.0,6
single_2,ceap_20,CEAP,507,0.6132511109060739,0.039254050415844184,6
single_2,ceap_20,CEAP,1005,0.5585480691502531,0.033385458027484584,6
single_2,ceap_20,CEAP,1502,0.5603743846950465,0.031675197282025384,6
single_2,ceap_20,CEAP,2000,0.5791329182602594,0.026403886453719876,6
single_3,ceap_20,CEAP,10,1.0,0.0,6
single_3,ceap_20,CEAP,507,0.5664666409390487,0.04737315660821787,6
single_3,ceap_20,CEAP,1005,0.5348285617103872,0.042235900460821464,6
single_3,ceap_20,CEAP,1502,0.5541176671055749,0.035871795578571626,6
single_3,ceap_20,CEAP,2000,0.5692244664476284,0.03805228340310644,6
single_4,ceap_20,CEAP,10,1.0,0.0,6
single_4,ceap_20,CEAP,507,0.6900955504792871,0.03950569767919953,6
single_4,ceap_20,CEAP,1005,0.5814793134364201,0.04484215627774209,6
single_4,ceap_20,CEAP,1502,0.5932181031442081,0.0352152869611205,6
single_4,ceap_20,CEAP,2000,0.5893115644155342,0.02887344284252663,6
single_5,ceap_20,CEAP,10,1.0,0.0,6
single_5,ceap_20,CEAP,507,0.8785535682944831,0.02099629041650175,6
single_5,ceap_20,CEAP,1005,0.8077882485933444,0.03021897675468662,6
single_5,ceap_20,CEAP,1502,0.8076540022583104,0.02361540806048962,6
single_5,ceap_20,CEAP,2000,0.7955335152131643,0.029551803213136208,6
single_6,ceap_20,CEAP,10,1.0,0.0,6
single_6,ceap_20,CEAP,507,0.5934261981869936,0.05358214045929972,6
single_6,ceap_20,CEAP,1005,0.5889015327505,0.059264733352072003,6
single_6,ceap_20,CEAP,1502,0.5817699909934516,0.04468869133886073,6
single_6,ceap_20,CEAP,2000,0.5821005042435311,0.04332071595522978,6
single_7,ceap_20,CEAP,10,0.25,0.3818813079129867,6
single_7,ceap_20,CEAP,507,0.5031413300908985,0.015043926896801956,6
single_7,ceap_20,CEAP,1005,0.4848485203321528,0.034686998082567345,6
single_7,ceap_20,CEAP,1502,0.48629962135515775,0.02430315085327876,6
single_7,ceap_20,CEAP,2000,0.5095657108711562,0.030543941273831556,6
single_8,ceap_20,CEAP,10,1.0,0.0,6
single_8,ceap_20,CEAP,507,0.9026366514199285,0.018591460069291143,6
single_8,ceap_20,CEAP,1005,0.8935971823104638,0.01586631971095567,6
single_8,ceap_20,CEAP,1502,0.8305054903631395,0.029119071393656,6
single_8,ceap_20,CEAP,2000,0.8189263847207847,0.018599232078582505,6
single_9,ceap_20,CEAP,10,1.0,0.0,6
single_9,ceap_20,CEAP,507,0.8935658376433535,0.022139597316297936,6
single_9,ceap_20,CEAP,1005,0.8511122634130578,0.03282069027931573,6
single_9,ceap_20,CEAP,1502,0.8128944820461919,0.04451364686936088,6
single_9,ceap_20,CEAP,2000,0.8160762039731914,0.03475649080609453,6
single_10,ceap_20,CEAP,10,1.0,0.0,3
single_10,ceap_20,CEAP,507,0.6197998946814113,0.26884207267861365,3
single_10,ceap_20,CEAP,1005,0.6059259259259259,0.2786524500675876,3
single_10,ceap_20,CEAP,1502,0.6326932545544067,0.2597250904801401,3
single_10,ceap_20,CEAP,2000,0.6471604938271605,0.24949520748532752,3
single_11,ceap_20,CEAP,10,1.0,0.0,6
single_11,ceap_20,CEAP,507,0.46517702613018425,0.048255250434118865,6
single_11,ceap_20,CEAP,1005,0.4234980807394632,0.04260703602082333,6
single_11,ceap_20,CEAP,1502,0.4158060889958419,0.046092953396823386,6
single_11,ceap_20,CEAP,2000,0.4224535084150938,0.04265832614696967,6
single_12,ceap_20,CEAP,10,1.0,0.0,6
single_12,ceap_20,CEAP,507,0.8562284165369284,0.018811578937787683,6
single_12,ceap_20,CEAP,1005,0.7915988191676826,0.02507993544066453,6
single_12,ceap_20,CEAP,1502,0.7705914387022285,0.01943426896028652,6
single_12,ceap_20,CEAP,2000,0.7467499994011558,0.019931123189825824,6
single_13,ceap_20,CEAP,10,1.0,0.0,6
single_13,ceap_20,CEAP,507,0.654833411311528,0.05149200584400073,6
single_13,ceap_20,CEAP,1005,0.5898558588359054,0.05052067034338014,6
single_13,ceap_20,CEAP,1502,0.5600653416477941,0.038235115079876446,6
single_13,ceap_20,CEAP,2000,0.5485844097984834,0.03728470465832306,6
single_14,ceap_20,CEAP,10,1.0,0.0,6
single_14,ceap_20,CEAP,507,0.8408171407788437,0.03174666451911948,6
single_14,ceap_20,CEAP,1005,0.8327555509022321,0.03546766836795247,6
single_14,ceap_20,CEAP,1502,0.7951670951999396,0.0491689480383937,6
single_14,ceap_20,CEAP,2000,0.771877436581981,0.05060200296487121,6
plural_0,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_0,eap-ig_20,EAP-IG,507,0.7478939015364436,0.05004583179728218,6
plural_0,eap-ig_20,EAP-IG,1005,0.684728688464782,0.063788256003866,6
plural_0,eap-ig_20,EAP-IG,1502,0.6500471728158043,0.057579432716756584,6
plural_0,eap-ig_20,EAP-IG,2000,0.647304292937764,0.05062580988732352,6
plural_1,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_1,eap-ig_20,EAP-IG,507,0.6751580120542445,0.017206876234616926,6
plural_1,eap-ig_20,EAP-IG,1005,0.6220247254058815,0.03301947380497462,6
plural_1,eap-ig_20,EAP-IG,1502,0.6046724820017961,0.02706400875937489,6
plural_1,eap-ig_20,EAP-IG,2000,0.594022093425887,0.030717502347541788,6
plural_2,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_2,eap-ig_20,EAP-IG,507,0.5434970212440976,0.02441784513924463,6
plural_2,eap-ig_20,EAP-IG,1005,0.5429617730061634,0.026802232991563864,6
plural_2,eap-ig_20,EAP-IG,1502,0.5636511020684699,0.02599836888718255,6
plural_2,eap-ig_20,EAP-IG,2000,0.5602960205253962,0.01840223514297622,6
plural_3,eap-ig_20,EAP-IG,10,0.5,0.5,6
plural_3,eap-ig_20,EAP-IG,507,0.46910806499127483,0.04584015257706502,6
plural_3,eap-ig_20,EAP-IG,1005,0.4683560317443975,0.03865959072284754,6
plural_3,eap-ig_20,EAP-IG,1502,0.47465840411172483,0.03907268964056472,6
plural_3,eap-ig_20,EAP-IG,2000,0.49405787155761166,0.04717797407938383,6
plural_4,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_4,eap-ig_20,EAP-IG,507,0.5276584673083566,0.07980707013009276,6
plural_4,eap-ig_20,EAP-IG,1005,0.5105925788793991,0.06166830828453298,6
plural_4,eap-ig_20,EAP-IG,1502,0.5031724688586571,0.06035971151142251,6
plural_4,eap-ig_20,EAP-IG,2000,0.5143061607140132,0.05915740983522903,6
plural_5,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_5,eap-ig_20,EAP-IG,507,0.8229579332905103,0.03238935673711403,6
plural_5,eap-ig_20,EAP-IG,1005,0.7574399110343593,0.03310041919975427,6
plural_5,eap-ig_20,EAP-IG,1502,0.7502596331865893,0.0329484003961953,6
plural_5,eap-ig_20,EAP-IG,2000,0.7237931050831987,0.04017671918453204,6
plural_6,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_6,eap-ig_20,EAP-IG,507,0.5188295305242736,0.03899881555128485,6
plural_6,eap-ig_20,EAP-IG,1005,0.5076821934378324,0.02971365579903216,6
plural_6,eap-ig_20,EAP-IG,1502,0.5117009318532834,0.03608099765549908,6
plural_6,eap-ig_20,EAP-IG,2000,0.5296406026833677,0.036194057395479304,6
plural_7,eap-ig_20,EAP-IG,10,0.75,0.25,6
plural_7,eap-ig_20,EAP-IG,507,0.43153620185698355,0.03104418793768355,6
plural_7,eap-ig_20,EAP-IG,1005,0.4327833381022974,0.03078456827603821,6
plural_7,eap-ig_20,EAP-IG,1502,0.4366255025207795,0.022307491179927284,6
plural_7,eap-ig_20,EAP-IG,2000,0.45739531290571295,0.01959645794096591,6
plural_8,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_8,eap-ig_20,EAP-IG,507,0.8837583476527772,0.015714755505991523,6
plural_8,eap-ig_20,EAP-IG,1005,0.8543429243341653,0.022690109142122685,6
plural_8,eap-ig_20,EAP-IG,1502,0.8106003975493543,0.027229926550702478,6
plural_8,eap-ig_20,EAP-IG,2000,0.8134230090326141,0.02467276231905428,6
plural_9,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_9,eap-ig_20,EAP-IG,507,0.8448808355265621,0.023831018716191504,6
plural_9,eap-ig_20,EAP-IG,1005,0.826058733902394,0.01689374129719518,6
plural_9,eap-ig_20,EAP-IG,1502,0.8017730241159916,0.020353759546444982,6
plural_9,eap-ig_20,EAP-IG,2000,0.7899584229990889,0.018831782697064387,6
plural_11,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_11,eap-ig_20,EAP-IG,507,0.4165079954967387,0.08761588845924476,6
plural_11,eap-ig_20,EAP-IG,1005,0.3898932256132854,0.06888788273989524,6
plural_11,eap-ig_20,EAP-IG,1502,0.3986856117547703,0.08028431179061309,6
plural_11,eap-ig_20,EAP-IG,2000,0.40012438123943994,0.07947506564655717,6
plural_12,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_12,eap-ig_20,EAP-IG,507,0.8386939416872398,0.027416411977694507,6
plural_12,eap-ig_20,EAP-IG,1005,0.7869639756961239,0.009872322258330951,6
plural_12,eap-ig_20,EAP-IG,1502,0.7161258678303161,0.00919854940742609,6
plural_12,eap-ig_20,EAP-IG,2000,0.711942605403182,0.014650258046341874,6
plural_13,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_13,eap-ig_20,EAP-IG,507,0.4276909978106584,0.021251485964009886,6
plural_13,eap-ig_20,EAP-IG,1005,0.4177787580880807,0.01179941467349108,6
plural_13,eap-ig_20,EAP-IG,1502,0.41490862269712886,0.013534950617207444,6
plural_13,eap-ig_20,EAP-IG,2000,0.41565016106851393,0.019957276806090222,6
plural_14,eap-ig_20,EAP-IG,10,1.0,0.0,6
plural_14,eap-ig_20,EAP-IG,507,0.8049484831433773,0.03699688492809921,6
plural_14,eap-ig_20,EAP-IG,1005,0.8102715141226393,0.020929045187261196,6
plural_14,eap-ig_20,EAP-IG,1502,0.791290118828789,0.02470240288860409,6
plural_14,eap-ig_20,EAP-IG,2000,0.7807258700606358,0.02163116537051001,6
single_0,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_0,eap-ig_20,EAP-IG,507,0.72563266179317,0.03139000246634342,6
single_0,eap-ig_20,EAP-IG,1005,0.6792973964877432,0.02621185509873371,6
single_0,eap-ig_20,EAP-IG,1502,0.6575202525525218,0.024868039819537113,6
single_0,eap-ig_20,EAP-IG,2000,0.653371873274052,0.027133845379917348,6
single_1,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_1,eap-ig_20,EAP-IG,507,0.5974101622465257,0.04406577471539459,6
single_1,eap-ig_20,EAP-IG,1005,0.5887032863591397,0.02804818486685945,6
single_1,eap-ig_20,EAP-IG,1502,0.570056997479844,0.04009841984442953,6
single_1,eap-ig_20,EAP-IG,2000,0.5786040343277962,0.039062687804068914,6
single_2,eap-ig_20,EAP-IG,10,0.5,0.5,6
single_2,eap-ig_20,EAP-IG,507,0.5005841914580679,0.0334193373811311,6
single_2,eap-ig_20,EAP-IG,1005,0.47195396260210054,0.03726431691306738,6
single_2,eap-ig_20,EAP-IG,1502,0.49319195807792776,0.0318921509478756,6
single_2,eap-ig_20,EAP-IG,2000,0.4974378751408532,0.02696382272190689,6
single_3,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_3,eap-ig_20,EAP-IG,507,0.5006274493553752,0.050084573372914123,6
single_3,eap-ig_20,EAP-IG,1005,0.48864053179660094,0.047167682248338436,6
single_3,eap-ig_20,EAP-IG,1502,0.5117378228090935,0.03836015009281679,6
single_3,eap-ig_20,EAP-IG,2000,0.5171568650153945,0.03782936682790367,6
single_4,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_4,eap-ig_20,EAP-IG,507,0.5594898666520423,0.03506929098157042,6
single_4,eap-ig_20,EAP-IG,1005,0.5413017612769969,0.03321498966489545,6
single_4,eap-ig_20,EAP-IG,1502,0.5337327084832071,0.031030683114557117,6
single_4,eap-ig_20,EAP-IG,2000,0.5332267626638526,0.0285137583947865,6
single_5,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_5,eap-ig_20,EAP-IG,507,0.8288181178903015,0.024849675443298174,6
single_5,eap-ig_20,EAP-IG,1005,0.7802612145746047,0.028252964869108898,6
single_5,eap-ig_20,EAP-IG,1502,0.7517298510462381,0.03760847318979304,6
single_5,eap-ig_20,EAP-IG,2000,0.7540712470603324,0.034322787803671144,6
single_6,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_6,eap-ig_20,EAP-IG,507,0.5396537449259856,0.0650955002850691,6
single_6,eap-ig_20,EAP-IG,1005,0.5171869642910206,0.058336420711818014,6
single_6,eap-ig_20,EAP-IG,1502,0.5349660520045229,0.06251894683618148,6
single_6,eap-ig_20,EAP-IG,2000,0.5366899519436221,0.058844223478399585,6
single_7,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_7,eap-ig_20,EAP-IG,507,0.45494042918367833,0.03331909121927062,6
single_7,eap-ig_20,EAP-IG,1005,0.43420403257600176,0.033063499469896736,6
single_7,eap-ig_20,EAP-IG,1502,0.4471849076125167,0.030726783530918747,6
single_7,eap-ig_20,EAP-IG,2000,0.46260386777157825,0.03383675835350349,6
single_8,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_8,eap-ig_20,EAP-IG,507,0.8927810415642359,0.022925833131808716,6
single_8,eap-ig_20,EAP-IG,1005,0.8558824262043148,0.021587518722168027,6
single_8,eap-ig_20,EAP-IG,1502,0.8052267025237462,0.02357661307257616,6
single_8,eap-ig_20,EAP-IG,2000,0.8106725440190772,0.021321792676784836,6
single_9,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_9,eap-ig_20,EAP-IG,507,0.8188713609743189,0.030153542432777628,6
single_9,eap-ig_20,EAP-IG,1005,0.812804087880111,0.040441531769247925,6
single_9,eap-ig_20,EAP-IG,1502,0.7671143400380611,0.045337865104427305,6
single_9,eap-ig_20,EAP-IG,2000,0.7810626668827493,0.05264870580938484,6
single_10,eap-ig_20,EAP-IG,10,1.0,0.0,3
single_10,eap-ig_20,EAP-IG,507,0.6021333333333333,0.2813342180080877,3
single_10,eap-ig_20,EAP-IG,1005,0.5972222222222222,0.284806897977915,3
single_10,eap-ig_20,EAP-IG,1502,0.6075423457973793,0.27750946861523823,3
single_10,eap-ig_20,EAP-IG,2000,0.6047008547008547,0.279518706238272,3
single_11,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_11,eap-ig_20,EAP-IG,507,0.41921468116129784,0.07852553039390932,6
single_11,eap-ig_20,EAP-IG,1005,0.38916309190058723,0.0679716334295834,6
single_11,eap-ig_20,EAP-IG,1502,0.383809248898413,0.07397388190180354,6
single_11,eap-ig_20,EAP-IG,2000,0.38753106587750036,0.075058076716166,6
single_12,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_12,eap-ig_20,EAP-IG,507,0.8085638017820606,0.019558530651216433,6
single_12,eap-ig_20,EAP-IG,1005,0.7185609287625061,0.021957876821441888,6
single_12,eap-ig_20,EAP-IG,1502,0.7099559072891798,0.019357470906417575,6
single_12,eap-ig_20,EAP-IG,2000,0.6772091532721527,0.024320313128476573,6
single_13,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_13,eap-ig_20,EAP-IG,507,0.5290687071395874,0.07123167572133839,6
single_13,eap-ig_20,EAP-IG,1005,0.49401391642705317,0.04124621902096521,6
single_13,eap-ig_20,EAP-IG,1502,0.48479937930962497,0.04032379504411278,6
single_13,eap-ig_20,EAP-IG,2000,0.4725324211373665,0.03582617021449015,6
single_14,eap-ig_20,EAP-IG,10,1.0,0.0,6
single_14,eap-ig_20,EAP-IG,507,0.818211038127249,0.026749225152023545,6
single_14,eap-ig_20,EAP-IG,1005,0.7981049264652736,0.034994299777931545,6
single_14,eap-ig_20,EAP-IG,1502,0.7920853467350919,0.037661053193445676,6
single_14,eap-ig_20,EAP-IG,2000,0.7681491196331315,0.04321212204725179,6
